ID,file_name,URL,actual_caption,google_colab_caption
0,894928353_002a3d5f06.jpg,https://drive.google.com/uc?id=1-X_n_Ai5DutBwVzMozxLwljB0yQZJCu9,The three children are playing on the rails .,a woman is holding a red pants 
1,897621891_efb1e00d1d.jpg,https://drive.google.com/uc?id=11dS-CvrBR72rPWPkK8tONayZE3k0UQnK,A boy is swimming underwater holding a toy in his hand .,a young girl laying on a bed 
2,864290968_eccb46d5ab.jpg,https://drive.google.com/uc?id=11hxJwQeBDI9rYbS16BMP7PsMwVdVUlDi,A bearded man sits at a bus window .,a man is standing next to a bus 
3,895502702_5170ada2ee.jpg,https://drive.google.com/uc?id=11kjiYI76_IPNiN75ibFpRMf1aGyckvQk,A black and white dog is chasing a ball on an open plane .,a dog running in a field 
4,888425986_e4b6c12324.jpg,https://drive.google.com/uc?id=11n675cnHtrJFM6z8d4q2U71VS3BYXqJh,A boy is upside down in midair near a lake at sunset .,a man riding a trick 
5,964197865_0133acaeb4.jpg,https://drive.google.com/uc?id=13dqxSgOttquO8rTjmGXiTRxCPKNUmfEy,A baby is trying to eat a large red plastic toy outdoors .,a young boy holding a frisbee 
6,976392326_082dafc3c5.jpg,https://drive.google.com/uc?id=13ehYUx8EagaLNeQnSJDoGyWxA3BbIk6l,A woman and a little girl sit on desert rock .,a person is standing on a hill 
7,997722733_0cb5439472.jpg,https://drive.google.com/uc?id=13sNgbcz3fk2veE8_IliglJ2yahuwmZej,A man in a pink shirt climbs a rock face,a man is flying a trick on a snowboard 
8,90011335_cfdf9674c2.jpg,https://drive.google.com/uc?id=14G3M7gCbHD6PrhBavBJFHK8FZRa4ujog,"A boat is on the water , with mountains in the background .",a boat on a surfboard 
9,878758390_dd2cdc42f6.jpg,https://drive.google.com/uc?id=14NqFlxIYEuUmrPkFa8XxB_YLdfTAkqDJ,A white dog is running on a rocky beach .,a dog laying on a leash 
10,95734036_bef6d1a871.jpg,https://drive.google.com/uc?id=14UVYFdgseEn3wyusT-Eh4FGQA-bslHBA,a biker bikes in the mountains .,a group of people riding a road 
11,987907964_5a06a63609.jpg,https://drive.google.com/uc?id=14ab23FrIFsHXKTOYrZAru5WQ8JZLg36R,one brown and white dog chasing a black and white dog through the grass,a sheep standing in a field 
12,870710405_51e507b31a.jpg,https://drive.google.com/uc?id=14nSp8jCDDj6dmA95Z4xsZHh0ht6ZgEgn,An older lady wearing a Tinkerbell jacket .,a woman holding a frisbee 
13,979201222_75b6456d34.jpg,https://drive.google.com/uc?id=151li6-HsLiSdtqjWc_FLLtVw_5MyJmI1,Two girls are walking arm in arm past an amusement arcade .,a man riding a bus 
14,929679367_ff8c7df2ee.jpg,https://drive.google.com/uc?id=15M8OsY4WgtrV-gJdLyIBPFGha5ElOko9,A beagle is playing with a tennis ball .,a dog is laying on a green grass 
15,871290646_307cddd4e7.jpg,https://drive.google.com/uc?id=17jKhPmPXdMK3r71rNgDjw_a_vNzE2fp8,A clown dressed in red and yellow holds something to his mouth .,a young man holding a hat
16,945509052_740bb19bc3.jpg,https://drive.google.com/uc?id=184VRQNn_ZpojvvTI4qMRPvnTU2Z2UF5W,A girl sits on the beach under a bright pink sunshade .,a woman is standing on the beach 
17,923550133_ac9d7a2932.jpg,https://drive.google.com/uc?id=18Q04lMXlvqMcsIC5xSDorDu48p40-Riq,Two girls are sitting outside on the ground in front of a lake .,a person is sitting on a boat 
18,930126921_1b94605bdc.jpg,https://drive.google.com/uc?id=19-TKdy5NqFERjMIfU_0jTYoq8uBFpGvD,A man in a black shirt enjoys a snack while a woman in a white shirt looks confused .,a woman holding a racket 
19,97105139_fae46fe8ef.jpg,https://drive.google.com/uc?id=19o_cSDbK2sD4m_HXeqa2uT5fHH7ywyzx,Two men in ethnic dress standing in a barren landscape .,a man riding a car 
20,972381743_5677b420ab.jpg,https://drive.google.com/uc?id=1Aa9IN1oPCuck0gDgxGY958vB0ugTEO5R,"A girl all in black and white , and carrying an umbrella , walks down the street , as others watch .",a woman is holding a umbrella 
21,978580450_e862715aba.jpg,https://drive.google.com/uc?id=1AbcDx6AW4ETrR8e0aCCX-zWf9EBcmoiE,A blonde child swims .,a woman is riding a surfboard 
22,974924582_10bed89b8d.jpg,https://drive.google.com/uc?id=1ArcrbhsVqUdAUG0V82RgLImkAv9uxMH1,A child is running away from a plastic pool and an adult on a rural setting .,a group of people standing on a field 
23,911795495_342bb15b97.jpg,https://drive.google.com/uc?id=1BKyazkZfiNRT9qGUyYaPwQg40yMELLAI,A girl sits on a swing .,a woman with a hat holding a hat
24,934375844_dd149fed18.jpg,https://drive.google.com/uc?id=1C4w28UfhEYRrpOFG7ZW_-AYAB8R_tRPM,A baby in a white top is sitting on a bed .,a young boy sitting on a couch 
25,837893113_81854e94e3.jpg,https://drive.google.com/uc?id=1CXzZZugOzoxPJhlr654-Y1I1b_G-fxeM,A child throwing an orange toy .,a man throwing a frisbee 
